Subject	Group	TrialNumber	TrialOrder	SuffixAmbiguity	Noun	Suffix	LemmaFrequency	NounLength	SuffixFrequency	SuffixProductivity	SuffixLength	IA_ID	DWELL_TIME	FIRST_FIXATION_DURATION	FIRST_RUN_FIXATION_COUNT	GAZE_DURATION	IA_SKIP	IA_FIRST_FIX_PROGRESSIVE	IA_REGRESSION_PATH_DURATION	IA_SELECTIVE_REGRESSION_PATH_DURATION	PROB_OF_REGRESSION
71b	b	36	16	vise	smrtnik	nik	2119	7	6585	266	3	4	332	332	1	332	0	1	332	332	0
71b	b	84	5	jedno	star?i?	Ă„Ĺ¤iĂ„â€ˇ	107	7	73	35	3	4	592	384	2	592	0	1	592	592	0
71b	b	68	18	jedno	streljana	ana	581	9	424	35	3	4	496	340	2	496	0	1	496	496	0
71b	b	70	17	vise	sudija	ija	67415	6	3200	192	3	4	320	172	1	172	0	1	172	172	0
71b	b	72	44	jedno	sviraljka	aljka	8	9	81	17	5	4	764	508	2	764	0	1	764	764	0
71b	b	38	26	vise	udara?	aĂ„Ĺ¤	270	6	2140	166	2	4	384	384	1	384	0	1	384	384	0
71b	b	74	25	vise	ulaznica	nica	11438	8	2280	181	4	4	572	272	1	272	0	1	272	272	0
71b	b	40	7	vise	umetnik	nik	38568	7	6585	266	3	4	312	176	1	176	0	1	176	176	0
71b	b	76	6	jedno	uvoj?i?	Ă„Ĺ¤iĂ„â€ˇ	0.1	7	73	35	3	4	460	312	2	460	0	1	460	460	0
71b	b	78	35	jedno	ven?anje	nje	9556	8	23567	2144	3	4	216	216	1	216	0	1	216	216	0
71b	b	42	11	vise	ven?ina	ina	0.1	7	6155	225	3	4	548	212	1	212	0	1	564	212	0
71b	b	44	37	jedno	vernost	ost	2854	7	3001	310	3	4	200	200	1	200	0	1	200	200	0
71b	b	46	36	vise	zemljak	ak	3466	7	5345	165	2	4	172	172	1	172	0	1	172	172	0
71b	b	80	32	vise	zidina	ina	2972	6	6155	225	3	4	668	136	2	316	0	1	316	316	0
71b	b	82	4	jedno	zvuki?	iĂ„â€ˇ	1	8	868	104	2	4	408	232	2	408	0	1	408	408	0
72b	b	48	7	jedno	?lanarina	arina	4717	9	46	12	5	4	432	228	1	228	0	1	228	228	0
72b	b	50	37	jedno	?vori?	iĂ„â€ˇ	444	6	868	104	2	4	276	276	1	276	0	1	276	276	0
72b	b	8	13	vise	?vrstina	ina	2303	8	6155	225	3	4	176	176	1	176	1	0	176	176	0
72b	b	2	26	vise	an?elak	ak	331	7	5345	165	2	4	208	208	1	208	0	1	208	208	0
72b	b	4	24	vise	brija?	aĂ„Ĺ¤	636	6	2140	166	2	4	420	176	1	176	0	1	176	176	0
72b	b	6	34	vise	cvetak	ak	288	6	5345	165	2	4	208	208	1	208	0	1	208	208	0
72b	b	10	41	vise	davljenik	nik	386	9	6585	266	3	4	276	188	1	188	0	1	188	188	0
72b	b	12	32	vise	divljak	ak	1045	7	5345	165	2	4	264	180	1	180	0	1	180	180	0
72b	b	52	33	jedno	drĂ„Ä…Ă„Äľavnost	ost	4745	9	3001	310	3	4	380	236	2	380	0	1	380	380	0
72b	b	86	29	jedno	dvojnost	ost	222	8	3001	310	3	4	348	224	1	224	0	1	224	224	0
72b	b	14	40	vise	dvorac	ac	5925	6	3764	191	2	4	200	200	1	200	0	1	200	200	0
72b	b	16	28	jedno	gusto?a	oĂ„â€ˇa	294	7	913	53	3	4	364	208	2	364	0	1	364	364	0
72b	b	54	43	vise	hlebac	ac	36	6	3764	191	2	4	384	184	1	184	0	1	184	184	0
72b	b	56	39	vise	izvornik	nik	486	8	6585	266	3	4	216	216	1	216	0	1	216	216	0
72b	b	18	44	vise	jastu?nica	nica	241	10	2280	181	4	4	124	124	1	124	0	1	124	124	0
72b	b	58	31	jedno	jedin?e	Ă„Ĺ¤e	0.1	7	88	36	2	4	408	180	1	180	0	1	180	180	0
72b	b	60	9	jedno	jezi?i?	iĂ„â€ˇ	3	7	868	104	2	4	988	168	1	168	0	1	168	168	0
72b	b	20	5	jedno	kadionica	onica	291	9	234	15	5	4	1164	388	1	388	0	1	924	560	172
72b	b	22	8	vise	konjina	ina	74	7	6155	225	3	4	956	264	3	672	0	1	672	672	0
72b	b	24	42	jedno	lizi?	iĂ„â€ˇ	0.1	5	868	104	2	5	208	208	1	208	0	1	208	208	0
72b	b	26	22	vise	lovac	ac	9537	5	3764	191	2	4	184	184	1	184	0	1	184	184	0
72b	b	88	30	vise	nau?nik	nik	40951	7	6585	266	3	4	204	204	1	204	0	1	204	204	0
72b	b	62	4	jedno	osmakinja	kinja	5	9	170	37	5	4	272	272	1	272	0	1	272	272	0
72b	b	28	10	jedno	osnivanje	nje	30166	9	23567	2144	3	4	196	196	1	196	0	1	196	196	0
72b	b	30	19	jedno	primer?i?	Ă„Ĺ¤iĂ„â€ˇ	1	9	73	35	3	4	264	264	1	264	0	1	264	264	0
